Topic,Size,Total Domestic Gross,Total Worldwide Gross
Golden Globe Winner Best Picture—Drama,10,"$1,039,202,674 ","$2,888,100,669 "
Golden Globe Winner Best Picture—Musical or Comedy,10,"$1,079,539,343 ","$2,902,185,638 "
Gulf War,10,"$347,105,787 ","$655,975,344 "
Heavy Metal,10,"$3,876,370 ","$70,829,505 "
Hot for Teacher,10,"$362,385,902 ","$647,408,749 "
Hypnotism,10,"$254,217,233 ","$408,352,278 "
Lost,10,"$434,193,502 ","$1,093,388,665 "
Magazine,10,"$61,763,680 ","$68,980,303 "
Motorcycle Gangs,10,"$58,833,541 ","$601,613,971 "
Movie Maker,10,"$481,338 ","$1,302,439 "
New Parents,10,"$448,650,459 ","$1,071,197,413 "
Palestinian,10,"$4,967,083 ","$7,002,824 "
Pedophilia,10,"$142,707,798 ","$229,380,661 "
Plastic Surgery,10,"$13,341,803 ","$41,840,962 "
Political Prisoner,10,"$18,624,056 ","$35,811,671 "
Political Thriller,10,"$664,675,968 ","$1,419,166,524 "
Post War,10,"$2,652,641 ","$10,605,957 "
Remake with Returning Cast Member,10,"$176,784,750 ","$439,243,475 "
Set in Alaska,10,"$37,203,398 ","$50,363,283 "
Set in Iceland,10,"$996,745 ","$6,205,770 "
Set in New Jersey,10,"$99,167,096 ","$202,787,568 "
Set in North Korea,10,"$9,864,126 ","$259,674,263 "
Set in South Africa,10,"$61,391,575 ","$190,324,220 "
Set in Vietnam,10,"$237,162,929 ","$859,441,671 "
Sexual Harassment,10,"$253,079,017 ","$417,761,943 "
Southern Gothic,10,"$66,453 ","$2,632,923 "
Spaghetti Western,10,"$6,153,074 ","$6,161,714 "
Suicide Bomber,10,"$134,659,843 ","$559,762,089 "
Swimming,10,"$101,651 ","$3,375,598 "
Taxi Driver,10,"$26,366,881 ","$136,435,556 "
Undead,10,"$80,513,122 ","$142,409,867 "
Voodoo,10,"$235,910,068 ","$582,423,421 "
2012 Oscars Best Picture Nominee,9,"$628,321,209 ","$1,244,297,699 "
2013 Oscars Best Picture Nominee,9,"$1,002,184,076 ","$2,439,136,478 "
2014 Oscars Best Picture Nominee,9,"$813,180,181 ","$1,971,339,573 "
2017 Oscars Best Picture Nominee,9,"$700,445,389 ","$1,444,864,065 "
2018 Oscars Best Picture Nominee,9,"$711,050,356 ","$1,628,592,828 "
2020 Oscars Best Picture Nominee,9,"$949,642,646 ","$2,601,960,840 "
Amatuer Slueth,9,"$128,193,565 ","$322,840,178 "
Animated Inanimate Objects,9,"$1,009,815,010 ","$2,357,944,515 "
Arms Dealer,9,"$438,749,618 ","$951,572,105 "
Assisted Suicide,9,"$63,355,520 ","$248,307,172 "
AWOL,9,"$83,434,519 ","$144,468,377 "
Bag of Money,9,"$111,379 ","$25,320,039 "
Bare Knuckle Fighting,9,"$473,379,181 ","$1,180,963,403 "
Bigfoot,9,"$163,337,197 ","$404,134,940 "
Birthday Party,9,"$2,094,349 ","$5,050,814 "
Bonnie and Clyde romance,9,"$75,992,390 ","$184,004,764 "
Buried Alive,9,"$28,845,736 ","$151,218,196 "
Christmas Horror,9,"$26,667,718 ","$34,766,777 "
Commune,9,"$125,306 ","$1,759,812 "
Cops and Robbers,9,"$47,947,573 ","$159,758,017 "
Death Penalty,9,"$315,445 ","$14,236,571 "
Dinosaurs in the Modern World,9,"$1,084,266,480 ","$2,992,554,067 "
Dwarves,9,"$495,331,140 ","$1,321,616,544 "
Elementary School,9,"$111,202,585 ","$164,341,675 "
Eloping,9,"$128,133,236 ","$320,327,374 "
Fake Dating,9,"$118,251,782 ","$158,587,317 "
"Filmed in Georgia, United States",9,"$4,217,329,481 ","$11,543,144,979 "
"Filmed in New York, United States",9,"$4,587,844,847 ","$12,707,186,263 "
"Filmed in Surrey, England",9,"$4,107,506,727 ","$9,807,982,482 "
Frat Pack,9,"$975,381,294 ","$1,612,822,339 "
Friends turned Enemies,9,"$1,243,663,087 ","$4,028,882,339 "
Giants,9,"$248,935,037 ","$638,586,311 "
Grave Robbers,9,"$9,043,810 ","$402,468,165 "
Heir,9,"$1,170,268 ","$95,043,177 "
Jungle,9,"$429,331,842 ","$1,124,895,325 "
Lone Survivor,9,"$328,373,885 ","$633,358,960 "
Massachusetts,9,"$144,193,103 ","$280,735,554 "
Matchmaker,9,"$103,982,682 ","$308,693,315 "
Medieval,9,"$23,405,731 ","$35,449,542 "
Misanthrope,9,"$36,488,791 ","$69,462,743 "
Music Festival,9,"$115,120,192 ","$140,909,853 "
Neighbors from Hell,9,"$304,709,111 ","$519,539,705 "
Nigeria,9,"$408,232,379 ","$1,152,382,695 "
Night Club,9,"$713,839 ","$12,713,872 "
Occupying Army,9,"$2,064,122 ","$40,470,968 "
Off the Grid,9,"$12,348,346 ","$29,517,291 "
Old Age Makeup,9,"$649,085,833 ","$1,439,579,053 "
Police Shooting,9,"$155,897,930 ","$313,410,201 "
Prehistoric Times,9,"$792,870,199 ","$3,173,441,686 "
Science vs. Religion,9,"$2,955,888 ","$4,295,492 "
Separated at Birth,9,"$351,078,440 ","$1,289,097,373 "
Set in Belgium,9,"$1,469,073 ","$3,229,401 "
Set in Colorado,9,"$81,415,203 ","$156,011,586 "
Set in Greece,9,"$258,387 ","$735,108 "
Set in Harlem,9,"$127,938,252 ","$181,205,961 "
Set in Monte Carlo,9,"$670,672,881 ","$2,041,051,415 "
Set in New Mexico,9,"$277,070,836 ","$593,983,585 "
Set in North Carolina,9,"$117,968,308 ","$144,892,505 "
Set in Philadelphia,9,"$134,656,671 ","$198,458,882 "
"Set in Rome, Italy",9,"$94,211,272 ","$186,071,771 "
Set in Syria,9,"$2,278,487 ","$4,778,692 "
Sleepwalking,9,"$184,103,441 ","$419,746,212 "
Supreme Court,9,"$56,786,542 ","$76,691,974 "
Teen Pregnancy,9,"$7,058,820 ","$7,988,892 "
Travelogue,9,"$121,239,891 ","$305,344,949 "
True Crime,9,"$100,716,751 ","$171,734,265 "
Wine,9,"$376,600 ","$2,988,611 "
World War III,9,"$736,402,349 ","$1,417,888,450 "
2015 Oscars Best Picture Nominee,8,"$669,110,558 ","$1,329,111,205 "
2016 Oscars Best Picture Nominee,8,"$806,337,728 ","$2,042,293,552 "
2019 Oscars Best Picture Nominee,8,"$1,348,210,347 ","$3,245,459,038 "
Adult Education,8,"$153,187,780 ","$200,486,120 "
Anarchists,8,"$8,929,481 ","$31,286,866 "
Baby Shower,8,"$474,543,769 ","$968,973,018 "
Bandits,8,"$51,435,696 ","$104,731,316 "
Child Neglect,8,"$1,346,361 ","$8,338,652 "
Choreography,8,"$33,813,103 ","$91,455,816 "
Clowns,8,"$15,375,257 ","$25,322,336 "
Comic Strip,8,"$197,867,369 ","$391,691,545 "
Cricket,8,"$41,670,880 ","$85,636,499 "
Docudrama,8,"$311,868,085 ","$630,824,971 "
Empty Nest,8,"$150,514,849 ","$191,486,439 "
Evicted,8,"$4,736,184 ","$12,383,357 "
Ex-cop,8,"$62,939,818 ","$299,301,230 "
Fake Sports,8,"$645,796,786 ","$1,261,948,246 "
"Filmed in Hertfordshire, England",8,"$3,032,279,235 ","$6,997,916,232 "
"Filmed in New York, NY",8,"$3,729,471,847 ","$9,909,385,699 "
Flight Attendant,8,"$484,220,261 ","$905,980,812 "
Frankenstien's Monster,8,"$362,050,568 ","$1,121,742,472 "
Gymnastics,8,"$831,927 ","$1,035,702 "
High School Dropout,8,"$108,019,613 ","$157,750,963 "
Human Rights,8,"$17,270,002 ","$36,101,037 "
Internal Affairs,8,"$166,981,708 ","$309,542,459 "
International Competition,8,"$509,696 ","$9,109,184 "
Job Interview,8,"$399,249,809 ","$845,154,522 "
Killer Plants,8,"$76,216,473 ","$83,406,708 "
Meaning of Life,8,"$18,171,245 ","$26,594,778 "
Medical Students,8,"$35,792,073 ","$91,477,296 "
Middle School,8,"$34,475,340 ","$46,584,871 "
Priest,8,"$3,511,288 ","$4,636,742 "
Puppets in a Live Action World,8,"$174,472,637 ","$281,752,005 "
Real Time,8,"$23,154,526 ","$47,969,440 "
Reunited With Biological Family,8,"$51,922,209 ","$175,363,150 "
Robin Hood Bandits,8,"$38,101,476 ","$140,626,828 "
Rogue Agent,8,"$566,004,641 ","$1,756,695,255 "
Second Wife,8,"$355,990 ","$8,682,692 "
Set in Amazon Rainforest,8,"$54,874,957 ","$71,406,481 "
Set in Antarctica,8,"$357,550,704 ","$1,182,025,669 "
Set in Chile,8,"$13,286,386 ","$35,445,831 "
Set in Colombia,8,"$10,390,684 ","$15,865,731 "
Set in Indonesia,8,"$43,452,735 ","$78,834,724 "
Set in Iraq,8,"$5,903,565 ","$77,024,947 "
Set in Northern Ireland,8,"$63,982,536 ","$67,766,108 "
Set in Shanghai,8,"$506,080 ","$76,490,153 "
Set in Toronto,8,"$653,763 ","$661,418 "
Set in West Germany,8,"$73,917,700 ","$303,360,695 "
Snuff Film,8,"$63,070,730 ","$160,934,656 "
Stuntman,8,"$341,247,035 ","$744,514,516 "
Summer Camp,8,"$350,708 ","$351,118 "
Super Soldier Serum,8,"$925,369,182 ","$2,401,298,124 "
The Civil War,8,"$11,017,491 ","$28,517,287 "
Throwing a Fight / Match,8,"$194,853,898 ","$357,746,055 "
TV Series,8,"$3,045,592 ","$3,987,637 "
Veterinarian,8,"$129,623,555 ","$132,758,186 "
Weapons of Mass Destruction,8,"$484,325,383 ","$1,106,600,346 "
Wedding Anniversary,8,"$28,037,637 ","$55,979,181 "
1300s,7,"$118,220,630 ","$368,911,135 "
1400s,7,"$14,395,197 ","$18,420,267 "
1500s,7,"$23,218,025 ","$74,627,076 "
Abandoned Hospital,7,"$282,869 ","$24,888,415 "
Abusive Therapists,7,"$197,776,642 ","$298,868,603 "
Apartheid,7,"$120,614,733 ","$188,246,083 "
Australian Aboriginals,7,"$1,133,855 ","$17,430,434 "
Blind Date,7,"$56,510,977 ","$470,422,966 "
Bounty/Price on one's Head,7,"$264,451,165 ","$508,992,796 "
Child Custody Battle,7,"$87,274 ","$8,092,119 "
Cinephile,7,"$82,260 ","$116,304 "
Computer Industry,7,"$83,517,834 ","$212,702,745 "
Crime Comedy,7,"$473,859,795 ","$676,776,895 "
Crimes Against Humanity,7,"$139,876,304 ","$232,653,919 "
Cryptozoology,7,"$265,954,208 ","$859,850,086 "
Death Sports,7,"$118,725,150 ","$443,851,933 "
Down Syndrome,7,"$22,444,994 ","$26,089,074 "
Easter,7,"$213,857,659 ","$498,889,335 "
Edutainment,7,"$158,699,067 ","$232,628,642 "
Familicide,7,"$86,217,824 ","$170,345,081 "
Figure Skating,7,"$196,122,151 ","$248,256,026 "
Filmed in Buckinghamshire England,7,"$3,936,857,337 ","$9,168,258,761 "
"Filmed in London, England",7,"$3,157,331,888 ","$7,816,567,736 "
"Filmed in Pinewood Studios, Buckinghamshire, England",7,"$3,936,857,337 ","$9,168,258,761 "
Firefighter,7,"$217,111,012 ","$445,757,314 "
Great Depression,7,"$6,922,418 ","$10,505,330 "
Holocaust Survivor,7,"$381,830 ","$902,348 "
Internet Dating,7,"$32,550,901 ","$342,683,506 "
Journey of Discovery,7,"$60,815,526 ","$121,323,171 "
Last Day of School,7,"$187,507,367 ","$334,071,129 "
LBGTQ,7,"$60,073,254 ","$138,727,251 "
Left at the Altar,7,"$20,844,516 ","$40,229,624 "
Lord of the Rings,7,"$1,879,304,517 ","$5,874,154,355 "
Mail Order Bride,7,"$23,218,343 ","$26,429,174 "
Makeover,7,"$212,644,437 ","$411,906,230 "
Midnight Movie,7,"$8,567,433 ","$9,609,035 "
Missionary,7,"$2,846,469 ","$3,387,531 "
Parkour,7,"$190,246,454 ","$707,705,103 "
Parricide,7,"$37,648,786 ","$179,912,920 "
Rapture,7,"$121,005,631 ","$152,929,141 "
Rivals Becoming Friends,7,"$137,847,909 ","$161,068,412 "
Secret Service Agent,7,"$485,041,717 ","$1,177,334,497 "
Set in Arkansas,7,"$128,354 ","$128,354 "
"Set in Atlanta, GA",7,"$169,895,000 ","$224,645,408 "
Set in Denmark,7,"$2,275,509 ","$11,007,590 "
Set in Detroit,7,"$17,438,728 ","$26,682,152 "
Set in Finland,7,"$4,046,256 ","$11,890,666 "
Set in Hungary,7,"$531,132 ","$47,608,285 "
Set in Mexico City,7,"$62,257,385 ","$253,334,144 "
Set in Montreal,7,"$60,761,187 ","$103,263,332 "
Set in Nevada,7,"$159,967,384 ","$263,322,518 "
Set in Philippines,7,"$388,417 ","$6,500,540 "
Set in Portugal,7,"$3,923,066 ","$4,849,553 "
Set in Switzerland,7,"$11,019,446 ","$57,436,602 "
Set in Ukraine,7,"$18,203,360 ","$44,186,196 "
Set in Utah,7,"$938,749 ","$938,749 "
Set in Virginia,7,"$164,036,464 ","$379,263,509 "
Sex Addiction,7,"$38,797,272 ","$55,098,174 "
Sex Scandal,7,"$1,957,345 ","$3,574,785 "
Sick Child,7,"$1,128,096 ","$58,129,822 "
Split Personality,7,"$522,781,631 ","$1,087,746,949 "
Spring Break,7,"$73,856,660 ","$160,692,345 "
Switched At Birth,7,"$91,568,140 ","$112,788,354 "
Underworld,7,"$577,578,669 ","$1,865,132,055 "
Unions,7,"$37,832,569 ","$43,919,977 "
Unsolved Murder,7,"$20,371 ","$33,160,876 "
Vaudeville,7,"$64,393,602 ","$85,216,853 "
War on Drugs,7,"$1,410,537 ","$1,853,925 "
Warlord,7,"$183,089,065 ","$361,313,239 "
Amateur Porn,6,"$72,167,420 ","$177,660,432 "
Ancient Egypt,6,"$765,169,566 ","$2,648,002,773 "
Arctic Circle,6,"$64,752,194 ","$112,278,621 "
Artisans vs. Automation,6,"$12,235,110 ","$17,234,541 "
Bankruptcy,6,"$9,210,913 ","$26,972,534 "
Behind Enemy Lines,6,"$325,606,126 ","$675,841,433 "
Bigamy or Polygamy,6,"$15,521,293 ","$29,670,380 "
Biographical Documentary,6,"$71,205 ","$71,205 "
Black List Graduates,6,"$26,836,089 ","$43,954,028 "
Bodysnatchers,6,"$77,816,264 ","$158,855,362 "
Bollywood From Around the World,6,"$10,729,442 ","$43,974,372 "
Boomerang Kids,6,"$422,497 ","$436,781 "
Boot Camp,6,"$421,312,855 ","$429,812,855 "
Border Town,6,"$64,255,113 ","$255,312,786 "
Child Protective Services,6,"$159,015,710 ","$292,979,448 "
Colonial United States,6,"$437,663,395 ","$921,090,141 "
Comic Industry,6,"$1,634,089 ","$1,966,821 "
Competitive Eating,6,"$136,173,274 ","$136,173,626 "
Cowboys in Modern Times,6,"$133,745,086 ","$290,442,390 "
Cybercrimes,6,"$33,781,807 ","$200,407,439 "
Cycling,6,"$428,855 ","$704,160 "
Daredevil,6,"$21,790,544 ","$44,293,933 "
Dead Language,6,"$819,341,450 ","$1,950,367,190 "
Designer Drugs,6,"$636,673 ","$1,070,673 "
Died During Childbirth,6,"$30,049,673 ","$39,230,219 "
Docufiction,6,"$6,030,612 ","$28,334,290 "
Drop Out,6,$0 ,"$1,047,488 "
Exploring a Character's Mind,6,"$585,536,480 ","$1,261,505,646 "
"F-Rated, Triple",6,"$118,632,011 ","$236,266,332 "
Female Athlete in a Male Dominated Sport,6,"$56,374 ","$525,131 "
"Filmed in Alameda County, CA",6,"$2,680,911,274 ","$6,201,353,542 "
"Filmed in Atlanta, GA",6,"$3,148,700,898 ","$8,629,491,355 "
"Filmed in Chicago, IL",6,"$1,414,418,672 ","$3,147,210,953 "
"Filmed in Emeryville, CA",6,"$2,680,911,274 ","$6,201,353,542 "
"Filmed in Fulton County, GA",6,"$3,148,700,898 ","$8,629,491,355 "
"Filmed in Illinois, United States",6,"$1,414,418,672 ","$3,147,210,953 "
Filmed in Italy,6,"$2,487,699,545 ","$5,843,734,257 "
"Filmed in Pixar Animation Studios, Emeryville, CA",6,"$2,680,911,274 ","$6,201,353,542 "
First Time Parents,6,"$184,771,551 ","$494,072,312 "
Footage Shown in Reverse,6,"$117,210,627 ","$231,923,427 "
Fountain of Youth,6,"$90,601,600 ","$375,286,278 "
Gospel Music,6,"$35,615,212 ","$38,798,819 "
Graffitti Artists,6,"$6,535,377 ","$16,849,773 "
Green Card Marriage,6,"$30,191,390 ","$30,241,218 "
Hindu,6,"$1,891,794 ","$11,063,224 "
Hoaxes,6,"$85,999 ","$285,637 "
Home Schooled,6,"$138,373,414 ","$334,178,813 "
Humans as Prey,6,"$116,572,756 ","$273,929,588 "
Inbetwequel,6,"$641,426,858 ","$2,254,541,731 "
Interfaith Romance,6,"$4,615,298 ","$5,460,573 "
Joyride,6,"$128,528,883 ","$413,936,766 "
Kids Horror,6,"$293,578,587 ","$548,722,164 "
Killer Santa Claus,6,"$2,768,219 ","$2,944,693 "
Killing in Self Defence,6,"$135,223 ","$2,649,838 "
Language Barrier,6,"$985,902,012 ","$3,429,738,297 "
Marathon Running,6,"$36,097,490 ","$61,624,276 "
Marriage of Convenience,6,"$2,609,371 ","$7,425,629 "
Mathematics,6,"$199,112,367 ","$344,500,484 "
Military Coup,6,"$360,372,511 ","$898,232,300 "
Mind Control,6,"$654,675,620 ","$1,572,994,425 "
Minimalist Movie,6,"$277,936 ","$450,457 "
Motel,6,"$23,743,930 ","$40,575,784 "
Motorsports,6,"$2,737,374 ","$12,976,988 "
New York Yankees,6,"$133,757,046 ","$193,337,726 "
North Dakota,6,"$243,548 ","$865,403 "
Paparazzi,6,"$202,223,859 ","$384,038,758 "
Plane Crash,6,"$115,755,265 ","$157,086,073 "
Presumed Dead,6,"$243,571,021 ","$693,051,896 "
Private School,6,"$212,243 ","$318,013 "
Probation Officer,6,"$4,348,465 ","$5,002,939 "
Prohibition Era,6,"$124,046,300 ","$153,191,082 "
Prophetic Dreams,6,"$431,427,447 ","$1,182,268,313 "
Roller Skating,6,"$102,211,163 ","$115,276,537 "
Romani / Gypsies,6,"$109,154,733 ","$349,179,877 "
Samurai,6,"$457,216 ","$53,201,851 "
Santa Claus,6,"$138,908,740 ","$439,338,851 "
Satanism,6,"$606,812 ","$1,036,035 "
Scene Filmed in Night Vision,6,"$125,332,902 ","$155,467,326 "
Sequel With Returning Stars Playing New Characters,6,"$717,135,274 ","$1,853,986,633 "
Set in Alabama,6,"$47,305 ","$47,305 "
Set in Amsterdam,6,"$78,164,144 ","$211,550,536 "
Set in Buenos Aires,6,"$2,781,117 ","$18,864,147 "
Set in Czechoslovakia,6,"$3,036,934 ","$8,355,166 "
Set in Dubai,6,"$464,316 ","$257,120,785 "
Set in Ethiopia,6,"$50,073,447 ","$50,115,621 "
Set in Illinois,6,"$417,477,492 ","$981,412,063 "
Set in Memphis,6,"$331,150 ","$482,362 "
Set in Missouri,6,"$6,554,639 ","$16,154,687 "
Set in Mumbai,6,"$6,812,317 ","$12,648,846 "
Set in Palestine,6,"$1,112,716 ","$3,399,534 "
"Set in Pennsylvania, United States",6,"$306,129 ","$706,170 "
"Set in Portland, Oregon",6,"$37,930,532 ","$64,704,648 "
"Set in Seattle, WA",6,"$25,059,881 ","$27,166,925 "
Set in South America,6,"$6,252,822 ","$7,729,914 "
Shared Dreams,6,"$363,837,045 ","$833,888,987 "
Sikh,6,"$700,723 ","$2,065,952 "
Sleep Disorders,6,"$39,809 ","$715,196 "
Sniper,6,"$351,930,866 ","$553,846,828 "
Somalia,6,$0 ,"$944,327 "
Squatting,6,"$21,828,362 ","$62,039,200 "
Stroke,6,"$496,958 ","$775,758 "
Study of Sexuality,6,"$12,191,886 ","$32,959,542 "
Survival Drama,6,"$448,361,357 ","$1,191,095,172 "
Survival Thriller,6,"$350,343,895 ","$794,362,826 "
Swashbuckler,6,"$387,924,833 ","$1,588,684,042 "
Tabloid Journalism,6,"$179,799,686 ","$370,194,893 "
The Other Woman,6,"$96,179,877 ","$215,099,101 "
Ugly Duckling,6,"$240,607,163 ","$306,052,384 "
Upcoming Wedding,6,"$440,581 ","$443,094 "
Volleyball,6,"$10,325,041 ","$29,446,689 "
War Profiteers,6,"$169,375,406 ","$429,311,327 "
Witnessing a Crime,6,"$208,373,382 ","$301,143,667 "
1860s,5,"$108,509,611 ","$218,044,873 "
2030s,5,"$90,070,999 ","$217,764,159 "
Abusive boyfriend,5,"$32,053 ","$25,745,155 "
Adapted as a Comedy,5,"$187,625,836 ","$411,019,573 "
Afro-French,5,"$229,134 ","$11,237,032 "
Agoraphobia,5,"$2,068,121 ","$25,048,427 "
Alternate Reality,5,"$54,715,849 ","$147,328,604 "
Astronaut,5,"$44,936,545 ","$105,703,325 "
Athletes Past Their Prime,5,"$249,888,184 ","$500,924,470 "
Banishment,5,"$182,058,208 ","$466,675,314 "
BDSM,5,"$13,506 ","$143,457 "
Bible Epic,5,"$31,130,405 ","$96,516,799 "
Blaxploitation,5,"$127,425,220 ","$164,473,904 "
Bullfighting,5,"$134,798,317 ","$389,986,427 "
Canuxploitation,5,"$21,637,560 ","$26,890,515 "
Cavemen,5,"$679,639,218 ","$2,024,429,283 "
CCTV or Security Footage,5,"$4,982,869 ","$53,250,354 "
Child Abduction,5,"$515,765 ","$1,217,371 "
Child Actor,5,"$272,554,725 ","$1,106,144,246 "
Death as a Character,5,"$22,700,883 ","$168,919,109 "
Death Row,5,"$37,229,932 ","$52,486,743 "
Divorce Lawyer,5,"$72,756 ","$11,594,222 "
Doomed Romance,5,"$128,195,059 ","$213,641,923 "
Double Life,5,"$1,934,564 ","$3,631,943 "
East Germany,5,"$67,901,117 ","$187,611,234 "
Equestrian,5,"$2,980,838 ","$4,858,025 "
Evil Mastermind,5,"$5,801,249 ","$10,053,642 "
Fascism,5,"$59,278,161 ","$165,047,207 "
Female Athlete,5,"$58,090 ","$143,315 "
Female Lead,5,"$91,709,567 ","$110,744,964 "
"Filmed in Burbank, CA",5,"$2,107,872,122 ","$5,649,029,060 "
Filmed in Canada,5,"$1,022,434,653 ","$2,992,669,072 "
"Filmed in Gloucestershire, England",5,"$1,345,984,411 ","$3,391,355,543 "
"Filmed in Hawaii, United States",5,"$2,301,690,696 ","$5,849,949,247 "
"Filmed in Los Angeles, CA",5,"$1,947,663,999 ","$5,563,052,063 "
"Filmed in Oahu, HI",5,"$2,301,690,696 ","$5,849,949,247 "
"Filmed in Puzzlewood, Gloucestershire, England",5,"$1,345,984,411 ","$3,391,355,543 "
Filmed in Scotland,5,"$2,403,047,341 ","$7,232,903,199 "
First Responders,5,"$31,891,062 ","$52,842,690 "
Forced to Fight to the Death,5,"$13,557 ","$172,315 "
Ghost Town,5,"$18,119,640 ","$43,754,937 "
Golden Years,5,"$135,233,262 ","$165,281,352 "
Group Therapy,5,"$109,211,513 ","$172,470,997 "
Guerilla Filmmaking,5,"$111,518,537 ","$199,240,122 "
Hazing,5,"$92,115,373 ","$178,789,311 "
Hidden Camera,5,"$125,712,379 ","$264,302,952 "
Hitman Killing an Innocent Bystander,5,"$28,669,463 ","$56,243,322 "
Holiday,5,"$4,056,573 ","$13,167,362 "
Human Sacrifice,5,"$8,487,455 ","$9,405,673 "
Immortality,5,"$101,203,808 ","$225,172,613 "
Inside Job,5,"$130,144,034 ","$227,308,062 "
Insurance Fraud,5,"$137,242,333 ","$240,637,155 "
Interpol,5,"$155,498,632 ","$326,016,704 "
Kenya,5,"$162,404 ","$2,200,502 "
LARP,5,"$67,414,486 ","$94,614,357 "
Living Scarecrow,5,"$43,148,238 ","$57,018,965 "
Long Take,5,"$608,693 ","$49,017,301 "
Lou Gehrig’s Disease / ALS,5,"$35,894,764 ","$124,254,708 "
Lynching,5,"$2,005,142 ","$2,906,318 "
Mass Suicide,5,"$32,651 ","$2,332,371 "
Mecha,5,"$247,125,311 ","$844,548,036 "
Moonbase,5,"$296,118,145 ","$431,508,362 "
Multiple Personality,5,"$138,142,962 ","$291,676,184 "
Navy Seals,5,"$15,767,460 ","$30,846,881 "
Ninja,5,"$141,333,156 ","$376,012,784 "
Norse Mythology,5,"$672,743,418 ","$1,670,476,800 "
Organ Donor,5,"$3,176 ","$97,137,530 "
Ping Pong,5,"$33,523,970 ","$84,086,803 "
Psychiatric hospital,5,$0 ,"$4,713 "
Puerto Rico,5,"$13,120,576 ","$21,555,493 "
Puppeteers,5,"$235,842 ","$547,660 "
Reggae,5,"$70,269,743 ","$160,328,643 "
Sales Clerk,5,"$213,641,376 ","$412,074,782 "
Set in Armenia,5,"$206,536 ","$217,887 "
"Set in Baltimore, MD",5,"$1,243,430 ","$1,273,432 "
Set in Beijing,5,"$2,330,009 ","$409,106,298 "
Set in East / West Berlin,5,"$154,665,269 ","$437,528,533 "
Set in Kansas,5,"$19,011,411 ","$37,324,830 "
Set in Netherlands,5,"$75,679,423 ","$196,026,388 "
Set in Prague,5,"$424,802,735 ","$1,290,783,331 "
"Set in Silicon Valley, CA",5,$0 ,$0 
Set in Space Station,5,"$38,129,730 ","$109,255,661 "
Set in The Bronx,5,"$5,025,920 ","$23,025,920 "
Set in Tibet,5,"$411,032 ","$272,116,403 "
Set in West Virgina,5,"$14,958,756 ","$30,815,091 "
Set in Wisconsin,5,"$242,384 ","$246,611 "
Sex Comedy,5,"$57,951,974 ","$238,099,478 "
Sex Therapists,5,"$311,489 ","$360,374 "
Shipwreck,5,"$692,434 ","$198,992,002 "
Siege,5,"$7,318,789 ","$84,671,313 "
Staged Kidnapping,5,"$69,181,649 ","$117,393,131 "
Story within a Story,5,"$56,065 ","$75,102 "
Succubi,5,"$16,703,838 ","$34,267,430 "
Taliban,5,"$45,860,418 ","$71,311,489 "
Tap Dancing,5,"$263,617 ","$10,454,375 "
Testing an Urban Legend,5,"$18,287,744 ","$42,586,375 "
Trailer Park,5,"$49,345,075 ","$75,513,297 "
Traitor,5,"$7,804,488 ","$205,258,713 "
Travel Industry,5,"$162,499,685 ","$167,291,522 "
United Nations,5,"$72,736,449 ","$163,154,126 "
Wales,5,"$12,351,952 ","$18,237,216 "
War on Terror,5,"$119,139,269 ","$225,142,432 "
Water Sports,5,"$11,789,596 ","$11,879,403 "
White House Under Attack,5,"$515,971,648 ","$1,297,163,749 "
White Supremacists,5,"$49,417,409 ","$93,912,414 "
Yesterday's Tomorrow,5,"$329,228,325 ","$754,092,298 "
1200s,4,"$8,905 ","$22,736 "
2D Digitally Animated Films,4,"$30,282,648 ","$52,113,005 "
Afterlife,4,"$3,145,681 ","$196,970,137 "
Alternative Medicines,4,"$7,712,609 ","$13,993,002 "
Ancient Rome,4,"$80,912,579 ","$286,523,785 "
Arabs,4,"$36,149 ","$1,800,821 "
Backpacking,4,"$29,545,066 ","$38,425,664 "
Bartender,4,"$78,351,877 ","$78,392,929 "
Bent on World Domination,4,"$131,650,925 ","$380,074,809 "
Big Brother,4,"$20,497,844 ","$65,031,529 "
Bike Messengers,4,"$27,912,355 ","$41,909,011 "
Black and White Sequence,4,"$42,936,801 ","$76,087,448 "
Book Tour,4,"$3,336,339 ","$3,547,293 "
Bowling,4,"$42,569,311 ","$78,460,075 "
Brothel,4,"$4,939,090 ","$53,051,066 "
Car Thief,4,"$419,672 ","$11,819,695 "
Career Criminal,4,"$45,598 ","$1,244,015 "
Choir,4,"$408,319 ","$15,564,555 "
Collaborator,4,"$74,620,810 ","$103,737,001 "
College Reunions,4,"$1,334,693 ","$2,023,111 "
Convention / Conference,4,"$20,738,724 ","$37,441,794 "
Court Martial,4,"$60,693,333 ","$109,581,749 "
Criminals Working With Cops,4,"$8,522,934 ","$47,595,854 "
Critic,4,"$57,209,600 ","$74,721,539 "
Cryogenics,4,"$113,998,298 ","$287,123,150 "
Cyber Warfare,4,"$14,938,204 ","$35,095,246 "
Cyberpunk,4,"$1,260,662 ","$7,747,282 "
Dares,4,"$41,470,439 ","$95,475,529 "
Day After,4,"$585,377,284 ","$1,132,994,316 "
Descrimination,4,"$16,114,456 ","$30,663,283 "
Diabetes,4,$0 ,"$41,479,442 "
Director Cameo,4,"$662,199,760 ","$1,679,878,449 "
Discredited Scientist,4,"$158,025,761 ","$484,957,456 "
